geometry,raster_val,area_feet,area_acres,size_category
"POLYGON ((2992554 1878999, 2992554 1878998, 2992555 1878998, 2992555 1878999, 2992554 1878999))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992871 1878999, 2992871 1878998, 2992872 1878998, 2992872 1878999, 2992871 1878999))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992950 1878999, 2992950 1878998, 2992951 1878998, 2992951 1878999, 2992950 1878999))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992311 1878998, 2992311 1878997, 2992312 1878997, 2992312 1878998, 2992311 1878998))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992268 1878996, 2992268 1878995, 2992269 1878995, 2992269 1878996, 2992268 1878996))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992260 1879005, 2992260 1878995, 2992261 1878995, 2992261 1878994, 2992265 1878994, 2992265 1878995, 2992266 1878995, 2992266 1878996, 2992268 1878996, 2992268 1878997, 2992267 1878997, 2992267 1878998, 2992265 1878998, 2992265 1878999, 2992264 1878999, 2992264 1879003, 2992262 1879003, 2992262 1879005, 2992260 1879005))",1.0,50.0,0.001147842056932966,1/8 acre
"POLYGON ((2992810 1878995, 2992810 1878992, 2992811 1878992, 2992811 1878993, 2992815 1878993, 2992815 1878994, 2992814 1878994, 2992814 1878995, 2992810 1878995))",1.0,10.0,0.0002295684113865932,1/8 acre
"POLYGON ((2992451 1878993, 2992451 1878992, 2992452 1878992, 2992452 1878993, 2992451 1878993))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992586 1878991, 2992586 1878990, 2992587 1878990, 2992587 1878991, 2992586 1878991))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992468 1878988, 2992468 1878987, 2992469 1878987, 2992469 1878988, 2992468 1878988))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992863 1878987, 2992863 1878985, 2992864 1878985, 2992864 1878987, 2992863 1878987))",1.0,2.0,4.591368227731864e-05,1/8 acre
"POLYGON ((2992678 1878986, 2992678 1878985, 2992679 1878985, 2992679 1878986, 2992678 1878986))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992685 1878984, 2992685 1878983, 2992686 1878983, 2992686 1878984, 2992685 1878984))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992773 1878983, 2992773 1878982, 2992774 1878982, 2992774 1878983, 2992773 1878983))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992379 1878981, 2992379 1878980, 2992380 1878980, 2992380 1878981, 2992379 1878981))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992776 1878981, 2992776 1878980, 2992777 1878980, 2992777 1878981, 2992776 1878981))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992599 1878980, 2992599 1878979, 2992600 1878979, 2992600 1878980, 2992599 1878980))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992679 1878978, 2992679 1878977, 2992680 1878977, 2992680 1878978, 2992679 1878978))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992379 1878989, 2992379 1878987, 2992380 1878987, 2992380 1878985, 2992381 1878985, 2992381 1878984, 2992382 1878984, 2992382 1878983, 2992383 1878983, 2992383 1878982, 2992384 1878982, 2992384 1878980, 2992382 1878980, 2992382 1878979, 2992383 1878979, 2992383 1878978, 2992385 1878978, 2992385 1878977, 2992386 1878977, 2992386 1878976, 2992390 1878976, 2992390 1878977, 2992391 1878977, 2992391 1878979, 2992390 1878979, 2992390 1878980, 2992389 1878980, 2992389 1878981, 2992388 1878981, 2992388 1878982, 2992387 1878982, 2992387 1878983, 2992386 1878983, 2992386 1878984, 2992385 1878984, 2992385 1878986, 2992384 1878986, 2992384 1878987, 2992383 1878987, 2992383 1878988, 2992385 1878988, 2992385 1878989, 2992379 1878989))",1.0,66.0,0.0015151515151515152,1/8 acre
"POLYGON ((2992292 1878974, 2992292 1878973, 2992293 1878973, 2992293 1878974, 2992292 1878974))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992826 1878974, 2992826 1878973, 2992827 1878973, 2992827 1878974, 2992826 1878974))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992394 1878976, 2992394 1878975, 2992392 1878975, 2992392 1878973, 2992395 1878973, 2992395 1878972, 2992396 1878972, 2992396 1878973, 2992397 1878973, 2992397 1878974, 2992396 1878974, 2992396 1878975, 2992395 1878975, 2992395 1878976, 2992394 1878976))",1.0,11.0,0.0002525252525252525,1/8 acre
"POLYGON ((2992694 1878972, 2992694 1878971, 2992695 1878971, 2992695 1878972, 2992694 1878972))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992384 1878971, 2992384 1878970, 2992385 1878970, 2992385 1878971, 2992384 1878971))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992758 1878971, 2992758 1878970, 2992759 1878970, 2992759 1878971, 2992758 1878971))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992402 1878970, 2992402 1878968, 2992403 1878968, 2992403 1878969, 2992404 1878969, 2992404 1878970, 2992402 1878970))",1.0,3.0,6.887052341597796e-05,1/8 acre
"POLYGON ((2992384 1878969, 2992384 1878968, 2992386 1878968, 2992386 1878969, 2992384 1878969))",1.0,2.0,4.591368227731864e-05,1/8 acre
"POLYGON ((2992603 1878968, 2992603 1878967, 2992606 1878967, 2992606 1878968, 2992603 1878968))",1.0,3.0,6.887052341597796e-05,1/8 acre
"POLYGON ((2992292 1878965, 2992292 1878964, 2992293 1878964, 2992293 1878965, 2992292 1878965))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992363 1878963, 2992363 1878962, 2992364 1878962, 2992364 1878963, 2992363 1878963))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992661 1878963, 2992661 1878961, 2992662 1878961, 2992662 1878963, 2992661 1878963))",1.0,2.0,4.591368227731864e-05,1/8 acre
"POLYGON ((2992763 1878963, 2992763 1878961, 2992764 1878961, 2992764 1878962, 2992765 1878962, 2992765 1878963, 2992763 1878963))",1.0,3.0,6.887052341597796e-05,1/8 acre
"POLYGON ((2992759 1878962, 2992759 1878961, 2992760 1878961, 2992760 1878962, 2992759 1878962))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992354 1878972, 2992354 1878971, 2992352 1878971, 2992352 1878967, 2992351 1878967, 2992351 1878966, 2992350 1878966, 2992350 1878962, 2992349 1878962, 2992349 1878961, 2992351 1878961, 2992351 1878960, 2992352 1878960, 2992352 1878959, 2992354 1878959, 2992354 1878961, 2992353 1878961, 2992353 1878963, 2992354 1878963, 2992354 1878964, 2992355 1878964, 2992355 1878965, 2992357 1878965, 2992357 1878963, 2992359 1878963, 2992359 1878965, 2992358 1878965, 2992358 1878968, 2992357 1878968, 2992357 1878971, 2992356 1878971, 2992356 1878972, 2992354 1878972))",1.0,63.0,0.001446280991735537,1/8 acre
"POLYGON ((2992677 1878960, 2992677 1878959, 2992678 1878959, 2992678 1878960, 2992677 1878960))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992305 1878959, 2992305 1878958, 2992306 1878958, 2992306 1878959, 2992305 1878959))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992322 1878959, 2992322 1878958, 2992323 1878958, 2992323 1878959, 2992322 1878959))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992678 1878959, 2992678 1878958, 2992679 1878958, 2992679 1878959, 2992678 1878959))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992356 1878958, 2992356 1878957, 2992357 1878957, 2992357 1878958, 2992356 1878958))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992358 1878958, 2992358 1878957, 2992359 1878957, 2992359 1878958, 2992358 1878958))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992294 1878962, 2992294 1878961, 2992295 1878961, 2992295 1878960, 2992296 1878960, 2992296 1878959, 2992297 1878959, 2992297 1878958, 2992298 1878958, 2992298 1878956, 2992300 1878956, 2992300 1878957, 2992302 1878957, 2992302 1878958, 2992301 1878958, 2992301 1878960, 2992299 1878960, 2992299 1878962, 2992294 1878962))",1.0,24.0,0.0005509641873278236,1/8 acre
"POLYGON ((2992358 1878956, 2992358 1878955, 2992360 1878955, 2992360 1878956, 2992358 1878956))",1.0,2.0,4.591368227731864e-05,1/8 acre
"POLYGON ((2992425 1878955, 2992425 1878954, 2992426 1878954, 2992426 1878955, 2992425 1878955))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992668 1878957, 2992668 1878956, 2992667 1878956, 2992667 1878954, 2992672 1878954, 2992672 1878953, 2992673 1878953, 2992673 1878952, 2992675 1878952, 2992675 1878953, 2992676 1878953, 2992676 1878954, 2992675 1878954, 2992675 1878955, 2992674 1878955, 2992674 1878956, 2992672 1878956, 2992672 1878957, 2992668 1878957))",1.0,25.0,0.000573921028466483,1/8 acre
"POLYGON ((2992819 1878953, 2992819 1878952, 2992820 1878952, 2992820 1878953, 2992819 1878953))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992260 1879014, 2992260 1879009, 2992261 1879009, 2992261 1879008, 2992265 1879008, 2992265 1879007, 2992267 1879007, 2992267 1879005, 2992268 1879005, 2992268 1879003, 2992270 1879003, 2992270 1879002, 2992271 1879002, 2992271 1879001, 2992272 1879001, 2992272 1878999, 2992271 1878999, 2992271 1878997, 2992269 1878997, 2992269 1878996, 2992270 1878996, 2992270 1878995, 2992272 1878995, 2992272 1878993, 2992271 1878993, 2992271 1878991, 2992272 1878991, 2992272 1878990, 2992274 1878990, 2992274 1878989, 2992275 1878989, 2992275 1878988, 2992276 1878988, 2992276 1878987, 2992277 1878987, 2992277 1878986, 2992278 1878986, 2992278 1878983, 2992279 1878983, 2992279 1878982, 2992281 1878982, 2992281 1878981, 2992282 1878981, 2992282 1878980, 2992283 1878980, 2992283 1878979, 2992289 1878979, 2992289 1878980, 2992290 1878980, 2992290 1878981, 2992291 1878981, 2992291 1878980, 2992292 1878980, 2992292 1878979, 2992294 1878979, 2992294 1878978, 2992295 1878978, 2992295 1878977, 2992294 1878977, 2992294 1878972, 2992293 1878972, 2992293 1878971, 2992294 1878971, 2992294 1878970, 2992295 1878970, 2992295 1878969, 2992294 1878969, 2992294 1878968, 2992296 1878968, 2992296 1878967, 2992297 1878967, 2992297 1878966, 2992298 1878966, 2992298 1878965, 2992300 1878965, 2992300 1878964, 2992301 1878964, 2992301 1878967, 2992304 1878967, 2992304 1878966, 2992307 1878966, 2992307 1878965, 2992308 1878965, 2992308 1878966, 2992309 1878966, 2992309 1878965, 2992310 1878965, 2992310 1878962, 2992308 1878962, 2992308 1878961, 2992310 1878961, 2992310 1878958, 2992309 1878958, 2992309 1878957, 2992310 1878957, 2992310 1878956, 2992311 1878956, 2992311 1878955, 2992314 1878955, 2992314 1878956, 2992316 1878956, 2992316 1878958, 2992318 1878958, 2992318 1878961, 2992319 1878961, 2992319 1878962, 2992320 1878962, 2992320 1878961, 2992321 1878961, 2992321 1878963, 2992322 1878963, 2992322 1878964, 2992323 1878964, 2992323 1878965, 2992322 1878965, 2992322 1878966, 2992321 1878966, 2992321 1878968, 2992320 1878968, 2992320 1878969, 2992319 1878969, 2992319 1878970, 2992316 1878970, 2992316 1878971, 2992315 1878971, 2992315 1878972, 2992313 1878972, 2992313 1878975, 2992312 1878975, 2992312 1878977, 2992313 1878977, 2992313 1878979, 2992314 1878979, 2992314 1878983, 2992313 1878983, 2992313 1878985, 2992311 1878985, 2992311 1878986, 2992312 1878986, 2992312 1878987, 2992309 1878987, 2992309 1878991, 2992308 1878991, 2992308 1878993, 2992309 1878993, 2992309 1878995, 2992308 1878995, 2992308 1878997, 2992309 1878997, 2992309 1878999, 2992308 1878999, 2992308 1879004, 2992309 1879004, 2992309 1879006, 2992310 1879006, 2992310 1879007, 2992316 1879007, 2992316 1879004, 2992315 1879004, 2992315 1879003, 2992313 1879003, 2992313 1879002, 2992312 1879002, 2992312 1879001, 2992313 1879001, 2992313 1878999, 2992314 1878999, 2992314 1879000, 2992315 1879000, 2992315 1878999, 2992317 1878999, 2992317 1879000, 2992321 1879000, 2992321 1878999, 2992324 1878999, 2992324 1878998, 2992325 1878998, 2992325 1878996, 2992326 1878996, 2992326 1878995, 2992327 1878995, 2992327 1878993, 2992329 1878993, 2992329 1878992, 2992330 1878992, 2992330 1878988, 2992331 1878988, 2992331 1878987, 2992334 1878987, 2992334 1878986, 2992335 1878986, 2992335 1878984, 2992334 1878984, 2992334 1878981, 2992335 1878981, 2992335 1878980, 2992336 1878980, 2992336 1878979, 2992337 1878979, 2992337 1878980, 2992338 1878980, 2992338 1878979, 2992339 1878979, 2992339 1878980, 2992340 1878980, 2992340 1878978, 2992341 1878978, 2992341 1878977, 2992340 1878977, 2992340 1878975, 2992341 1878975, 2992341 1878973, 2992342 1878973, 2992342 1878972, 2992343 1878972, 2992343 1878971, 2992341 1878971, 2992341 1878969, 2992340 1878969, 2992340 1878968, 2992336 1878968, 2992336 1878969, 2992335 1878969, 2992335 1878970, 2992333 1878970, 2992333 1878972, 2992332 1878972, 2992332 1878971, 2992331 1878971, 2992331 1878969, 2992333 1878969, 2992333 1878968, 2992335 1878968, 2992335 1878967, 2992336 1878967, 2992336 1878965, 2992337 1878965, 2992337 1878963, 2992336 1878963, 2992336 1878962, 2992338 1878962, 2992338 1878961, 2992339 1878961, 2992339 1878960, 2992338 1878960, 2992338 1878959, 2992339 1878959, 2992339 1878958, 2992340 1878958, 2992340 1878957, 2992339 1878957, 2992339 1878956, 2992340 1878956, 2992340 1878955, 2992341 1878955, 2992341 1878954, 2992342 1878954, 2992342 1878953, 2992343 1878953, 2992343 1878952, 2992345 1878952, 2992345 1878950, 2992346 1878950, 2992346 1878951, 2992349 1878951, 2992349 1878955, 2992348 1878955, 2992348 1878956, 2992347 1878956, 2992347 1878958, 2992346 1878958, 2992346 1878959, 2992344 1878959, 2992344 1878961, 2992345 1878961, 2992345 1878964, 2992346 1878964, 2992346 1878965, 2992347 1878965, 2992347 1878966, 2992346 1878966, 2992346 1878970, 2992345 1878970, 2992345 1878972, 2992346 1878972, 2992346 1878973, 2992350 1878973, 2992350 1878974, 2992351 1878974, 2992351 1878975, 2992350 1878975, 2992350 1878977, 2992349 1878977, 2992349 1878978, 2992348 1878978, 2992348 1878979, 2992346 1878979, 2992346 1878981, 2992345 1878981, 2992345 1878982, 2992342 1878982, 2992342 1878984, 2992341 1878984, 2992341 1878986, 2992340 1878986, 2992340 1878989, 2992339 1878989, 2992339 1878990, 2992338 1878990, 2992338 1878988, 2992337 1878988, 2992337 1878989, 2992335 1878989, 2992335 1878990, 2992333 1878990, 2992333 1878993, 2992332 1878993, 2992332 1879000, 2992331 1879000, 2992331 1879001, 2992330 1879001, 2992330 1879002, 2992327 1879002, 2992327 1879003, 2992326 1879003, 2992326 1879005, 2992325 1879005, 2992325 1879006, 2992324 1879006, 2992324 1879005, 2992321 1879005, 2992321 1879009, 2992322 1879009, 2992322 1879010, 2992323 1879010, 2992323 1879012, 2992322 1879012, 2992322 1879014, 2992296 1879014, 2992296 1879012, 2992297 1879012, 2992297 1879009, 2992298 1879009, 2992298 1879007, 2992296 1879007, 2992296 1879006, 2992297 1879006, 2992297 1879004, 2992296 1879004, 2992296 1879002, 2992300 1879002, 2992300 1879000, 2992302 1879000, 2992302 1878999, 2992303 1878999, 2992303 1878997, 2992304 1878997, 2992304 1878996, 2992305 1878996, 2992305 1878993, 2992303 1878993, 2992303 1878992, 2992301 1878992, 2992301 1878993, 2992300 1878993, 2992300 1878991, 2992298 1878991, 2992298 1878992, 2992296 1878992, 2992296 1878993, 2992293 1878993, 2992293 1878994, 2992291 1878994, 2992291 1878995, 2992290 1878995, 2992290 1878997, 2992285 1878997, 2992285 1878998, 2992283 1878998, 2992283 1878997, 2992282 1878997, 2992282 1878999, 2992283 1878999, 2992283 1879001, 2992281 1879001, 2992281 1879002, 2992280 1879002, 2992280 1879003, 2992281 1879003, 2992281 1879004, 2992280 1879004, 2992280 1879005, 2992278 1879005, 2992278 1879006, 2992277 1879006, 2992277 1879007, 2992276 1879007, 2992276 1879009, 2992275 1879009, 2992275 1879010, 2992273 1879010, 2992273 1879014, 2992260 1879014))",1.0,1868.0,0.04288337924701561,1/8 acre
"POLYGON ((2992791 1878954, 2992791 1878952, 2992790 1878952, 2992790 1878951, 2992791 1878951, 2992791 1878950, 2992792 1878950, 2992792 1878949, 2992793 1878949, 2992793 1878952, 2992792 1878952, 2992792 1878954, 2992791 1878954))",1.0,8.0,0.00018365472910927456,1/8 acre
"POLYGON ((2992675 1878951, 2992675 1878950, 2992676 1878950, 2992676 1878949, 2992677 1878949, 2992677 1878951, 2992675 1878951))",1.0,3.0,6.887052341597796e-05,1/8 acre
"POLYGON ((2992789 1878950, 2992789 1878949, 2992790 1878949, 2992790 1878950, 2992789 1878950))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992846 1878953, 2992846 1878952, 2992844 1878952, 2992844 1878951, 2992845 1878951, 2992845 1878949, 2992847 1878949, 2992847 1878948, 2992849 1878948, 2992849 1878950, 2992848 1878950, 2992848 1878952, 2992847 1878952, 2992847 1878953, 2992846 1878953))",1.0,14.0,0.00032139577594123047,1/8 acre
"POLYGON ((2992819 1878945, 2992819 1878944, 2992820 1878944, 2992820 1878945, 2992819 1878945))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992422 1878947, 2992422 1878946, 2992421 1878946, 2992421 1878943, 2992422 1878943, 2992422 1878945, 2992423 1878945, 2992423 1878946, 2992424 1878946, 2992424 1878947, 2992422 1878947))",1.0,6.0,0.0001377410468319559,1/8 acre
"POLYGON ((2992622 1878948, 2992622 1878947, 2992621 1878947, 2992621 1878946, 2992620 1878946, 2992620 1878945, 2992621 1878945, 2992621 1878943, 2992623 1878943, 2992623 1878948, 2992622 1878948))",1.0,10.0,0.0002295684113865932,1/8 acre
"POLYGON ((2992346 1878944, 2992346 1878943, 2992347 1878943, 2992347 1878944, 2992346 1878944))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992345 1878943, 2992345 1878942, 2992346 1878942, 2992346 1878943, 2992345 1878943))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992818 1878943, 2992818 1878942, 2992819 1878942, 2992819 1878943, 2992818 1878943))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992583 1878942, 2992583 1878941, 2992586 1878941, 2992586 1878942, 2992583 1878942))",1.0,3.0,6.887052341597796e-05,1/8 acre
"POLYGON ((2992770 1878966, 2992770 1878965, 2992769 1878965, 2992769 1878964, 2992767 1878964, 2992767 1878963, 2992766 1878963, 2992766 1878960, 2992764 1878960, 2992764 1878959, 2992763 1878959, 2992763 1878961, 2992761 1878961, 2992761 1878957, 2992760 1878957, 2992760 1878955, 2992761 1878955, 2992761 1878954, 2992762 1878954, 2992762 1878953, 2992767 1878953, 2992767 1878952, 2992768 1878952, 2992768 1878951, 2992771 1878951, 2992771 1878950, 2992772 1878950, 2992772 1878951, 2992775 1878951, 2992775 1878950, 2992774 1878950, 2992774 1878949, 2992780 1878949, 2992780 1878948, 2992781 1878948, 2992781 1878946, 2992782 1878946, 2992782 1878943, 2992783 1878943, 2992783 1878941, 2992785 1878941, 2992785 1878940, 2992788 1878940, 2992788 1878941, 2992789 1878941, 2992789 1878942, 2992791 1878942, 2992791 1878943, 2992789 1878943, 2992789 1878945, 2992788 1878945, 2992788 1878951, 2992787 1878951, 2992787 1878955, 2992786 1878955, 2992786 1878959, 2992779 1878959, 2992779 1878957, 2992778 1878957, 2992778 1878958, 2992777 1878958, 2992777 1878959, 2992775 1878959, 2992775 1878958, 2992774 1878958, 2992774 1878959, 2992773 1878959, 2992773 1878962, 2992772 1878962, 2992772 1878961, 2992771 1878961, 2992771 1878966, 2992770 1878966))",1.0,313.0,0.0071854912764003675,1/8 acre
"POLYGON ((2992359 1878942, 2992359 1878940, 2992361 1878940, 2992361 1878941, 2992362 1878941, 2992362 1878942, 2992359 1878942))",1.0,5.0,0.0001147842056932966,1/8 acre
"POLYGON ((2992819 1878941, 2992819 1878940, 2992820 1878940, 2992820 1878941, 2992819 1878941))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992435 1878939, 2992435 1878938, 2992436 1878938, 2992436 1878939, 2992435 1878939))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992768 1878937, 2992768 1878936, 2992769 1878936, 2992769 1878937, 2992768 1878937))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992361 1878936, 2992361 1878935, 2992362 1878935, 2992362 1878936, 2992361 1878936))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992775 1878946, 2992775 1878945, 2992774 1878945, 2992774 1878943, 2992773 1878943, 2992773 1878941, 2992772 1878941, 2992772 1878942, 2992771 1878942, 2992771 1878940, 2992770 1878940, 2992770 1878939, 2992771 1878939, 2992771 1878938, 2992770 1878938, 2992770 1878934, 2992772 1878934, 2992772 1878935, 2992773 1878935, 2992773 1878934, 2992774 1878934, 2992774 1878935, 2992778 1878935, 2992778 1878938, 2992780 1878938, 2992780 1878939, 2992779 1878939, 2992779 1878940, 2992780 1878940, 2992780 1878941, 2992778 1878941, 2992778 1878943, 2992777 1878943, 2992777 1878945, 2992776 1878945, 2992776 1878946, 2992775 1878946))",1.0,72.0,0.001652892561983471,1/8 acre
"POLYGON ((2992371 1878937, 2992371 1878936, 2992369 1878936, 2992369 1878935, 2992368 1878935, 2992368 1878934, 2992370 1878934, 2992370 1878935, 2992372 1878935, 2992372 1878937, 2992371 1878937))",1.0,6.0,0.0001377410468319559,1/8 acre
"POLYGON ((2992417 1878934, 2992417 1878933, 2992418 1878933, 2992418 1878934, 2992417 1878934))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992693 1878937, 2992693 1878936, 2992694 1878936, 2992694 1878935, 2992693 1878935, 2992693 1878933, 2992695 1878933, 2992695 1878934, 2992698 1878934, 2992698 1878932, 2992699 1878932, 2992699 1878931, 2992700 1878931, 2992700 1878933, 2992699 1878933, 2992699 1878935, 2992697 1878935, 2992697 1878936, 2992695 1878936, 2992695 1878937, 2992693 1878937))",1.0,17.0,0.00039026629935720846,1/8 acre
"POLYGON ((2992428 1878941, 2992428 1878940, 2992426 1878940, 2992426 1878937, 2992423 1878937, 2992423 1878936, 2992424 1878936, 2992424 1878933, 2992425 1878933, 2992425 1878932, 2992427 1878932, 2992427 1878933, 2992428 1878933, 2992428 1878932, 2992432 1878932, 2992432 1878931, 2992435 1878931, 2992435 1878930, 2992437 1878930, 2992437 1878931, 2992438 1878931, 2992438 1878932, 2992437 1878932, 2992437 1878934, 2992436 1878934, 2992436 1878935, 2992435 1878935, 2992435 1878936, 2992436 1878936, 2992436 1878937, 2992434 1878937, 2992434 1878938, 2992433 1878938, 2992433 1878939, 2992432 1878939, 2992432 1878940, 2992431 1878940, 2992431 1878941, 2992430 1878941, 2992430 1878940, 2992429 1878940, 2992429 1878941, 2992428 1878941))",1.0,91.0,0.0020890725436179983,1/8 acre
